"episode_id","title_es","text"
"e01","Florencia una niña Rapa Nui","Florence, a Rapanui girl. Iorana Korua, I'm Florencia Araki, I live in Easter Island. The island is pretty. The sky is light blue and the clouds are white. My dad works in the Uta on my family's plot. I like to help him. We plant fruits and vegetables. When we make holes a lot of wind to plant the seeds. Then we put agüita. The plants are affirmed in the sticks we put. And they begin to grow and grow. Then we reap Perejíl, tomato, avocado, bananas and many more things. And we have some animals. Chanches, cows and horses. I like to ride the Ilo hole. What I like to do the most is dive, I get snorkel. And we carry an harpoon in case a shark appears. The fish that are most on the island are the pici, the master sword, the Maito and the Titeve. When it scares, it inflates like a balloon and there are many tunas. In hype there is a turtle -shaped pool. Many turtles always arrive, some giants with beautiful caparazones with their children. There are green, blue and coffee. My favorite place on the island is Anakena. Every time an important person died, a moai was made. Raraku Rano volcano took out the stones to make the moais. The moais are very large and heavy. They seem to move them with strings and bananas sticks. They grabbed the Moai and then stopped them in the AHU. There are many ahus throughout the island. The Tapati is a very important party and we do it in February and it comes people from all over the world. What I like most is dance competition. And I danced tamuro with costumes made of feathers or shells called Pitis. We also use crowns made of flowers and other things. And we chose the king and the queen of the island. But in my house the queen is me."
"e02","Isaac un niño Aymara","Hello, I'm Isaac and I live in Colchane. Isaac, an Aymara child. Colchane is in the Altiplano in the Andes mountain range. The landscape is very beautiful. There are volcanoes, rivers and geysers. In the summer it rains and in the winter it is so cold that sometimes snow falls. It is very cold. In my house I live with my dad and my brothers. We live so close to the border that sometimes we can go to buy by bicycle. My grandfather Faustino lives in inquelgá. In an Adobe house near the mountain. He is a shepherd and breeds and alpacas. Here are almost all people we have. We lies to us almost everything to live. Meat, leather and wool. We lick them. Floreum is something we do in the New Year, Aymara. We place wool pompoms to the wee we know who they are. When my grandfather is going to walk he takes my Toby dog. I like to accompany him. But you have to get up very early. And it gives me a lot of sleep. That is my Toby dog. It's funny. We lies are very funny. Sometimes the tail is pursued. And jump. And they play as if they were friends. Sometimes we go with my grandfather to his farm to sow. Here we sow Quinoa and Popes. It is almost the only thing that grows. At sunset we have to take the wee to his pen. So that the foxes are not eaten. With my grandfather we also went fishing. Near Calchuri there is a large slope with fed up water. We have a super good technique. We make a pool with stones. And we get caught with a bucket. This is easier to grab them. Here we fish Sutri and trout. LAT LIST YAT or Aguayos are the most traditional fabric. When I was a bus my mother was loaded in a Yi or Aguaya. We also use them to load food. When there is carnival I put my hat that my grandfather of Bolivia brought me. We dressed with very fine costumes. We dance sicuri. And we threw up chaya. The Aimaras believe that Pachamama Our Mother Earth is sacred. We take great care of her. And we appreciate everything that gives us."
"e03","Natalia una niña mapuche","Natalia, a Mapuche girl. Mari, Mari, I'm Natalia. Thus we greet the Mapuches. We speak Mapudungun. We live in the community of Mahuidache, a LOF near Temuco. Here it rains a lot in winter. And you can play more because there are trees, there are birds. It is very cute. And there is more patio. My dad helped him to milked the cows every morning. We also take the eggs that put the chickens. You have to do it very early. Here is my cup. My ñaña, my grandmother. My grandmother is Machi. A Machi is a person who cures people. He knows about herbs, heals the sick, directs the ceremonies. And it is very, very important for the community. I really like roasted flour. And it is richer when it is with milk. I love it. Today will be a great day. In ceremonies I look very pretty. Use Tarilonko, silver rings called Shaway, Quilla, which is a warm layer. It is warm. Trapelakucha and Trarihue. Today there is Nguillatún. I like Nguillatún because I share with people. And I also celebrate the We Tripantu which is the new sunrise. Our New Year. We also eat many rich things with the Michenén or Catuto, nicknamed with juice, beans and the muday. I like to take muday and we like to talk a lot. In the Nguilletún we all participate. Tañicucú, my grandmother, touches the kultrun. She directs the ceremony. My dad plays Tructruka and Pifilka. I would like to learn to play the trumpe. Toin, Toin, Toin, Toin, Toin, Toin. It sounds very nice. In this ceremony we ask to have good time. Good harvests. And we thank Newechen for health and life. """
"e04","Mana un niño Rapa Nui","We live on an island in the middle of the Pacific Ocean. Iorana, my friends tell me about and I am a Rapanui child. I live in Hanga Roa, in you whistle or you, also known as Easter Island. My island is full of colors, very green trees, there are many types of flowers and fruits and the earth is red. The island is warm, sometimes it runs a lot of wind. You can walk with a shirt even if it is raining. One of the oldest traditions on the island is the priest. We make a hole on earth, we fill it with stones to hot down. Then a large tray, food, meat, chicken and tuna. On Easter Island, in the sea there are many types of fish. My favorite fish is the manuhe, gray, big and guatón. The Titeve is a balloon fish that inflates when it is scared. But we cannot eat because some are poisonous. The Tapatí is Rapanui's most important party. I danced. My uncle paints my body with Kihea, white, red and black paintings. They paint me Make Make, the God of the Rapanui. And Mantao, the same drawings that carved our ancestors in stone. The Rapanui loves music. When we are all together, my dad plays the guitar. My mom sings. One of my brothers touches the battery. And the other touches the ukelele. I really like singing. One of the things I like the most is to play ball. But what I like most is to row in Vaka Hame. So we tell the canoes here. For the tapatí the races range from Hank Piko to Anakena. One of the most beautiful places on the island is Anakena. Just before arriving at the beach there is a great amú. Amú are sacred places where my ancestors lifted the moais. They remind us of our deceased ancestors. In the Tapatí for the next day they make Hanapico races to Anakena."
"e05","Joel un niño huilliche","Hello, I'm Joel Quinán, a Molulco Huilliche child. Joel, a Huilliche child. Molulco is on the Grande de Chiloé Island. Here it is full of lakes and forests. I live near my school with my dad, my mother, my little brother and my tata Juan. My tata, before bed always tells me Chilotas stories. Some give a lot of scare. Like the caleuche, which is a ghost ship that appears between the fog at dawn. This is my school, the rural artistic of Molulco. It is artistic because we like to sing. In the recess I like to play the dye and frozen with my friends. And there are also many animals. Some savages like the colo cat, the Chilote fox. And the Pudú child, which is like a deer but smaller. We are surrounded by sea. My favorite place is Molulco's estuary. There are many sea stars here. Hello. Sometimes I helped Mariscar my mother. We take clams, choritos and fight. Auch! Ha ha ha. Our richest custom is the curanto. We prepare it outside in a large hole. And we cover it with many hot stones. The priest carries fish, meat, potatoes, seafood, Milcao and Chapalele. We all help a little. And it is very entertaining. We Huilliches on the longest night of the year celebrate the We Tripantu, which is the new sunrise. It is when winter begins. Here is our lonko. Our leader. We all listen to it here with great respect. The lonko tries whenever we help ourselves. A tradition where we live is the Minga. It is when we change the house of a neighbor. Or we help to cut the firewood or harvest potatoes. We all support ourselves. After finishing we get together to share a rich and delicious food. But they do not let me out very late, because according to the legends my grandfather tells me the island of Chiloé is full of strange and dangerous beings."
"e06","Kristel una niña Aymara","Maya, Paya, Kimsa, Pusi. Hello, I am learning to tell my language, Aymara. My name is Kristel and I live in the town of Pachica. Kristel, a Aymará girl. Pachica is in a ravine in the middle of the desert. The water of the Tarapacá River is very important for us. We can take and water our crops. Like corn, spinach and parsley onions. My mom is the person I like the most in the world. She works by planting rich vegetables. And when someone needs some to cook, he goes to our farm to buy them. In the farm of my family we have lambs, chickens and guinea pigs, which are mice with a small tail. My favorite animals are the rabbit and the call. I love making them love. We lies are very intelligent. When they go for a walk, they return alone after eating for a while. My favorite game is to catch the Cuyi. We put a box and pursue it all over the pen. Sometimes we do competencies with my friends. I catch you! This is my home. Here I live with my mother, my dad and my three brothers. My mother likes to weave. And weave with a loom. Weaved beautiful belts, warm Anakos and Awuayos of all colors. My mother uses lamb wool, flames or alpaca. The softest of all. We paint the wool with natural dyes, which we take out of the earth and plants. I like when my mother cooks the Kalapurka. This dish is very rich. It has a peeled corn, meat, onion, coriander, garlic, pepper, chili and potatoes. It has many ingredients. I want to learn to prepare it. In winter, every June 21, the Aymaras celebrated our New Year. We climb to the tip of the hill. And we expect the arrival of the first ray of the sun. The Aymaras always thank Mother Earth for all the blessings they give us. Hello, I am Kristel and this is my suit. This is called Aksu. I, my grandmother and my mother we wove it to dance in the Sicuri Carnival."
"e07","Camilo un niño ciego","Hello, I am Camilo and I am seven years old. I live with my dad, I tell him Chinese, because he has very much eyes, so very stretched, very chinitos, so slowly that he uses. My mother smells so rich to flowers, sweets, croissants and in quecs. I tell him pretty. I live with my sister and together we do many experiments. I have two turtles, they are called Maxi and Martina, they are water turtles. I have two dogs, Rafa and Doby. The Rafa is super crazy, steals, toys and to the table are steal. And the Rafa eats a lot of poop. My mom also puts her nervous. Sometimes the boot, my grandmother takes care of every afternoon, we play together and eat apple with salt. I really like going to school. There are many games and friends. I have four companions, Anaís, Martina, Fernanda, Ayleen and I, the only man in the course. And we learn to read in Braile. And my white teacher is the best teacher. With each finger we read books, stories. And my favorite story, Mac the unknown microbe, is very brave like me. Hello. Goalball is a sport that consists of catching the ball and the ball has many sounds. I earned a medal last year in Goalball. I like to ride a bicycle. I have a feeling of jumping to the water and the wind takes me. In my piece there are toys, many instruments, a safe, my secret box only I can open it. In my box there are many secrets. I have many instruments. My favorite is the Güiro, accordion, drums and many more instruments. To make an instrument at home, you need some other jar. Rice, coins, balls, whatever they want is thrown. Then they close it and cover it with the Scotch. And ready, it is already an instrument. I love to go to the fair. There is a lot of noise, there are different textures and different types of smells. Sometimes I help sell. I sell, I sell, I sell the vegetable! What I like most is Friday. Today is Friday and my body knows it. We do entertaining things, we dance and I love the games we do on Friday. One day a strong storm fell and the light was cut. All were scared, except me. I was happier than ever, it was the best Friday of my life. Hello, I am Camilo and I want to inform all children. I want them to be curious because it is incredible."
"e08","Eva una niña Lickanantai","Hi, I'm Eva and I'm Lickanantai. I live in Toconao, north of Chile, very close to San Pedro de Atacama. Here I live with my mother, my dad and my brother, the Seba. He likes dinosaurs and strange things. It's a little crazy. And I also have a cat called cocoa. My mom put her like this and always bite her feet and break the socks. What I like most to live in Toconao is that there is pure air, it is very quiet and silent. Here is not like the city, we have no traffic lights because there are very few cars. Here in Toconao is the Jere Valley. It is a very nice place. There is a river, pools, orchards, and trees. I like it because my grandparents also went to that place. In the summer we bathe in a pond that is between a forest. We tell you the pool. It is very entertaining. That water also serves to water the orchards. Here the quince, figs and pomegranate plant. The grenade is red and has many pepas and is super sweet. Here in Toconao there are several volcanoes such as Licancabur, San Pedro and San Pablo, El Quimal, The Jurique and Lascar. In Lascar's slope is Old Talabre. There are many precious herbs. With my mom and my grandmother we will collect them. They smell very rich. First we choose them, we cut them with scissors, we clean them, and then take them out hung for several days. There are many and different. We get airampo, which serves for fever. The rich rich is very rich. And the tolilla that was used to help repair broken bones. With her many techitos are made. My mom gives us when we are sick and we always improve. But there are also Yatires, people who heals sick people with ancestral medicines. I also like to help my grandmother dye wool. First, she takes the wool to the sheep, which is ugly and blanquita. He puts them in a bowl, puts the wool and dye. And my grandmother stains them with natural tinctures, such as Betarraga or with Airampo. This gives wool a pink color. It is very pretty. My favorite food is the Patasca. I have cooked with my grandmother. And carries corn, meat, potatoes. She is very rich. We, the Lickanantai, have many traditions, such as payment to Earth. There you thank the Patahoiri, which means Mother Earth. The water, the fruits, everything she gives us is appreciated. You always look at the mountain range and the offerings are delivered. We put a pitcher with Chacha. A very rich smell is burned and comes out. We also make flourishing. A ceremony to put the wool to the sheep. Blue or pink pompoms are placed on the sheep. Thus females are differentiated. That day we dance chururito, a typical song. Chururito, Chururito, as the Lorito is killed. How the churo lorito is killed than a huayrurito. I like to be Lickanantai because you can collect herbs, know many things and follow the traditions of my family. Hello, I'm Eva. Come to Toconao. I will teach you the routes of herbs and traditions and customs. Bye. Pichintún, Pichintún. It goes around. Eagle. What a beautiful pichintún."
"e09","Benjamín un niño de tierra del fuego","Hello, my name is Benjamin and I am a Magellan child. That means I live in Tierra del Fuego, in the southern end of Chile. It is called Tierra del Fuego because formerly an original town lived that were called the Onas or Selknam. They made fires that were seen from the ships, so fire was always seen. In Tierra del Fuego it almost always is cold and runs a lot of wind. In winter frost and snow falls. To warm myself I have my poncho and my beret, which heats up my head. And also to walk the pierneras that are hairy and warm. In spring different birds begin to arrive. Loica that is like little and has red chest. The caga that is white, the male and black the female. And the bandurria has a very long peak. We live with my dad, my mom and my sisters Sami in the stay María Eugenia next to the route. And my sister has a cat that likes to walk a lot. It always goes and returns. His name is Temáukel, just like the God of the Selknam. Sometimes we know many tourists from various parts of the world. English, Austrians, Brazilians, Colombians. In Tierra del Fuego the sky looks blue with very white clouds. In the afternoons they look purple pink of all colors like a rainbow. And at night we sometimes see many stars and comets. The other day we were looking at the sky and saw one that exploded as an artificial fire. The wind is very important for us. We have a mill. We use it to generate light. Thus we can have light and load things and watch TV. My dad works in the room. It is the administrator. It takes care of animals, horses, sheep. I really like to help. We give them food, we clean them. And we have many dogs that are guardians of the sheep. They are fox hunters and help us with work. What I like to do the most is surround and walk on horseback. I learned about four years. We go out with my dad and dogs. My school is far from my house, in Cerro Hat. It is called Herro Hat because it is above the hill that looks like a hat. We always do entertaining things with my family. We are going to camp, for a walk and we are close to the Holy Spirit beacon to hunt Sentollas. They are red with shell and have pointed things. They look like giant spiders with many legs. After winter we make the sheep. Then a chopper with a machine that seems to cut hair. They take the wool, then they put them together and take them. The bundles are pressed and sold. Then the sheep are super peladitas. The wool grows again as in a year. I really like to live here for tranquility. Because I can play a lot and I don't have to get up very early. Hello, I'm Benjamin and I live in Tierra del Fuego. I want to tell you that they take care of the environment where they live. Also that they are tolerant and accept the different."
"e10","Nahuel un niño cuasimodista","Hello, I am Nahuel, I live on the mountain. I like living here. There are trees, field, there is river. In the summer, I bathe in the river. I threw fourth. Sometimes with my dad we get pyriguines, put a mesh and grab them. And then we bring it with a bottle with water. This is bully, my dog. Play with me, it boots with my feet, I get it like, I make the rod, I do it there. I live with my tata Juan and my grandmother. My tata carrots, onion, potatoes. And we take potatoes. We take them out with pillory. I open the bag and he grabs the handle and throws it away. My grandmother Teresa, weaves a lot with the sticks. HEAJO CALCEta, Pantufla, vest, pants. Very rich kitchen the pantrucas. Pantrucas are mass squares. It has meat, potato, broth. What I like to do the most is walking on horseback. I learned at two years, I like it because it's fun. I have three horses, flower, moon, fonda. The flower is clear brown and white spot. The horses must be taught. Thus they are calm and do not throw people. To horses you have to take care of them a lot. My tata made him a brush, with that we brushed him. You have to give it agüita, bales, sand, oats. That no more. I like to gallop with my tata. We go to Cerro Rosario. There we make a roast. We had a good time. We climb to the hill and we will see the little birds. Here in the mountain we celebrate quasimodo. It's a party. People are on horseback and accompany the curite. Let's see the sick. We dressed as Guaso. Boots, spurs, pants, leggings, shirt and blanket. With a white handkerchief on the head. Mine was bought by my grandmother. It has a cross equal to that of my tata. They go on horseback, go by bicycle and on foot. The horses also dress quasmented. We put a layer. Yellow blue red. We put rattles and bells. It looks very nice. Sometimes we shout like this, live the Christ King! Long live! We shout. The party is very pretty. And many people come. I am Nahuel. I live with my grandfather and my grandmother. I am quasimodist. And when it's bigger I want to be carabinero."
