"id_libro","titulo","nivel","n_palabras","titulo_duplicado","contenido_duplicado","md5"
"L0060","Antiguo Testamento",9,876185,TRUE,FALSE,"65f1be44fe92b45ed9fb621a880b2ffe"
"L0066","Cuentos de amor, de locura y de muerte",9,49909,TRUE,TRUE,"f3b7031b84759a1a313356aecdf366fa"
"L0073","Drácula",9,163462,TRUE,TRUE,"0ff94d184d77f3a445723f80059d9b65"
"L0074","El baile",9,12701,TRUE,TRUE,"a78b8a1f8a875193dd2359837aaa4196"
"L0075","El barón de Münchhausen",9,30098,FALSE,TRUE,"d9ba80c4f7ed91683808a9e6507d0a04"
"L0076","El conde de Montecristo",9,444101,TRUE,TRUE,"e58b60cde3085e27c6aecc04e78dddc8"
"L0077","El conde Lucanor",9,57849,TRUE,TRUE,"51b3e7e3c064276e097fdd202d72a9f0"
"L0082","El ingenioso hidalgo don Quijote de la Mancha: segunda parte",9,200258,TRUE,TRUE,"3838f6606c087ca8d7f8d61a447f0315"
"L0085","El retrato de Dorian Gray",9,78012,TRUE,TRUE,"ff17f715637170a9a59b25f8518c9f8e"
"L0089","Frankestein o el moderno Prometeo",9,68189,FALSE,TRUE,"c6100df3ae670de778ebc95108afb00e"
"L0094","Iván el imbécil",9,9576,TRUE,TRUE,"5118504313b1dc87a1da7df9a11584f9"
"L0097","La casa de Asterión",9,947,TRUE,TRUE,"96b475ba3c58437d45869443e715b0fc"
"L0101","La Odisea",9,51622,TRUE,FALSE,"ec5d46bf1f225f9656c6a52616ec5b9c"
"L0102","La ópera de dos centavos",9,24183,FALSE,TRUE,"c40c57dcaa22811fc45b9c6f4130c8e0"
"L0110","Ópera de los dos centavos",9,24183,FALSE,TRUE,"c40c57dcaa22811fc45b9c6f4130c8e0"
"L0113","Poemas de amor",9,4102,TRUE,TRUE,"2381a8e5668176ff3e07ddf2db6b955a"
"L0115","Prometeo",9,8674,FALSE,TRUE,"956c6acd20c59c744b7389045cbc739c"
"L0116","Prometeo encadenado",9,8674,FALSE,TRUE,"956c6acd20c59c744b7389045cbc739c"
"L0118","Rebelión de la granja",9,28887,FALSE,TRUE,"61b5e518392be2ca83a36f79a5f2e4e6"
"L0150","Gazapito quiere comer torta",2,5836,FALSE,TRUE,"2fa09e9a23f2335546b37fa9dda96c07"
"L0178","Vamos a buscar un tesoro. Historia de cómo el pequeño oso y el pequeño tigre fueron en busca de la felicidad.",2,25070,FALSE,TRUE,"0dcec62b5f65e884a10fa8ed0f662622"
"L0181","Yo sí, yo no",2,5836,FALSE,TRUE,"2fa09e9a23f2335546b37fa9dda96c07"
