word,topic,annotator_note
isla,geografía,infraestructura urbana
piedras,ecosistema,
agradecemos,aprendizaje,
chacra,trabajo,
pascua,cultura/tradiciones,
casa,infraestructura urbana,
artística,expresión artística,
carne,cocina,
ancestros,cultura/tradiciones,
ayudamos,aprendizaje,
carreras,actividades,
corral,trabajo,
crecer,identidad,
globo,ecosistema,
hoyo,ecosistema,
infla,actividades,
lindas,descripciones,
machi,cultura/tradiciones,
plátanos,cocina,
salida,actividades,
verdes,descripciones,
verduras,cocina,
abuelo,relaciones,
niño,cotidiano,
persona,cotidiano,
invierno,ecosistema,
nuevo,descripciones,
sol,ecosistema,
aprender,aprendizaje,
asusta,sentimientos,
ceremonias,cultura/tradiciones,
madre,relaciones,
pescado,cocina,
vacas,ecosistema,
favorito,identidad,
lana,cotidiano,
papas,cocina,
hermanos,relaciones,
importante,aprendizaje,
cerca,descripciones,
blancas,descripciones,
cantar,expresión artística,
ceremonia,cultura/tradiciones,
hoy,experiencias,
nueva,descripciones,
pasear,actividades,
perro,ecosistema,
reina,descripciones,
año,experiencias,
vivimos,identidad,
gusta,identidad,
mar,ecosistema,
niña,cotidiano,
tierra,ecosistema,
adobe,trabajo,
aimaras,cultura/tradiciones,
ajo,cocina,
ají,cocina,
almejas,ecosistema,
alpaca,ecosistema,
alpacas,ecosistema,
altiplano,geografía,
amanecer,cotidiano,
amo,sentimientos,
andes,geografía,
apelo,actividades,
apoyamos,aprendizaje,
aros,cotidiano,
arpón,trabajo,
atardecer,cotidiano,
atunes,ecosistema,
atún,ecosistema,
balde,trabajo,
bucear,actividades,
calentita,descripciones,
calientes,descripciones,
canoas,trabajo,
caparazones,ecosistema,
celebro,cultura/tradiciones,
celeste,descripciones,
chaya,sin definir,
chistoso,sentimientos,
chistosos,sentimientos,
ciervo,ecosistema,
cogemos,sin definir,
colo,ecosistema,
colocamos,experiencias,
coloco,experiencias,
colorantes,expresión artística,
compartir,aprendizaje,
comparto,aprendizaje,
competencias,actividades,
comprar,trabajo,
comprarlas,trabajo,
