"id_libro","cluster_lsa_k3","cluster_lsa_k12","cluster_cor_k3","titulo","nivel","etapa"
"L0002",1,1,1,"10 cuentos para abrir el apetito",1,"Basica inicial"
"L0005",1,1,1,"Donde viven los monstruos",1,"Basica inicial"
"L0006",1,1,1,"El cuervo y la vasija",1,"Basica inicial"
"L0008",1,1,1,"El labrador y el diablo",1,"Basica inicial"
"L0009",1,1,1,"El león que no sabía escribir",1,"Basica inicial"
"L0011",1,1,1,"El león y los cuatro bueyes",1,"Basica inicial"
"L0012",1,1,1,"El lobo y los siete cabritos",1,"Basica inicial"
"L0013",1,1,1,"El negrito zambo",1,"Basica inicial"
"L0014",1,1,1,"El pastorcito mentiroso",1,"Basica inicial"
"L0018",2,2,1,"El tonto Perico,",1,"Basica inicial"
"L0023",1,1,1,"Fernando furioso",1,"Basica inicial"
"L0024",1,1,1,"Frederick",1,"Basica inicial"
"L0026",1,1,1,"Hansel y Gretel",1,"Basica inicial"
"L0027",1,1,1,"Historias de ratones",1,"Basica inicial"
"L0028",1,1,1,"Juanito y las semillas mágicas",1,"Basica inicial"
"L0030",1,1,1,"La cigarra y la hormiga",1,"Basica inicial"
"L0031",1,1,1,"La flor Lililá,",1,"Basica inicial"
"L0032",1,1,1,"La gallina roja y el grano de trigo",1,"Basica inicial"
"L0033",1,1,1,"La hormiguita",1,"Basica inicial"
"L0034",1,1,1,"La liebre y la tortuga",1,"Basica inicial"
"L0036",2,2,1,"La pequeña oruga glotona",1,"Basica inicial"
"L0037",1,1,1,"La sorpresa",1,"Basica inicial"
"L0039",1,1,1,"La tortilla corredora",1,"Basica inicial"
"L0040",1,1,1,"Las tres plumas",1,"Basica inicial"
"L0043",1,1,1,"Los duendes y el zapatero",1,"Basica inicial"
"L0044",1,1,1,"Los músicos de Bremen",1,"Basica inicial"
"L0045",1,1,1,"Los secretos del abuelo sapo",1,"Basica inicial"
"L0047",1,1,1,"Los tres chanchitos",1,"Basica inicial"
"L0049",1,1,1,"Madre Nieve",1,"Basica inicial"
"L0051",2,2,1,"Mira lo que tengo",1,"Basica inicial"
"L0055",2,2,1,"Para ver y no creer",1,"Basica inicial"
"L0056",1,1,1,"Un paseo al campo",1,"Basica inicial"
"L0057",1,1,1,"Una sopa de piedra",1,"Basica inicial"
"L0059",2,3,2,"Agamenón",9,"Media"
"L0060",2,4,2,"Antiguo Testamento",9,"Media"
"L0061",2,5,1,"Canción del río indiferente",9,"Media"
"L0062",1,1,1,"Carta de Dickens a su hijo",9,"Media"
"L0063",1,1,1,"Creación del hombre. Popol Vuh",9,"Media"
"L0064",3,6,3,"Crepúsculo",9,"Media"
"L0065",3,7,3,"Crónica de una muerte anunciada",9,"Media"
"L0066",2,8,3,"Cuentos de amor, de locura y de muerte",9,"Media"
"L0067",2,5,1,"Cuentos de Pedro Urdemales",9,"Media"
"L0068",3,7,3,"Cumbres borrascosas",9,"Media"
"L0069",2,5,1,"Décimas de la Negra Ester",9,"Media"
"L0071",1,9,1,"Domo y Lituche",9,"Media"
"L0072",2,10,2,"Don Juan Tenorio",9,"Media"
"L0073",2,8,3,"Drácula",9,"Media"
"L0074",2,2,1,"El baile",9,"Media"
"L0075",2,8,3,"El barón de Münchhausen",9,"Media"
"L0076",2,8,3,"El conde de Montecristo",9,"Media"
"L0077",2,8,2,"El conde Lucanor",9,"Media"
"L0078",2,2,1,"El delantal blanco",9,"Media"
"L0079",2,10,2,"El estudiante de Salamanca",9,"Media"
"L0080",2,8,2,"El gaucho Martín Fierro",9,"Media"
"L0081",3,6,3,"El guardián entre el centeno",9,"Media"
"L0082",2,11,2,"El ingenioso hidalgo don Quijote de la Mancha: segunda parte",9,"Media"
"L0083",2,8,2,"El lazarillo de Tormes",9,"Media"
"L0084",1,1,1,"El libro talonario",9,"Media"
"L0085",2,8,3,"El retrato de Dorian Gray",9,"Media"
"L0086",1,1,1,"El verdadero final de la bella durmiente",9,"Media"
"L0087",2,2,3,"Extractos de los diarios de Adán y de Eva",9,"Media"
"L0088",2,3,2,"Fedra",9,"Media"
"L0089",2,8,3,"Frankestein o el moderno Prometeo",9,"Media"
"L0090",2,10,2,"Himno a la noche",9,"Media"
"L0091",2,2,3,"Historia de cronopios y famas",9,"Media"
"L0093",2,10,2,"Inquietudes sentimentales",9,"Media"
"L0094",1,1,1,"Iván el imbécil",9,"Media"
"L0095",3,7,3,"Jane Eyre",9,"Media"
"L0096",3,6,3,"La balada del café triste",9,"Media"
"L0097",1,1,1,"La casa de Asterión",9,"Media"
"L0098",3,7,3,"La dama de las camelias",9,"Media"
"L0099",2,10,2,"La miseria del hombre",9,"Media"
"L0100",2,2,3,"La Nona",9,"Media"
"L0101",2,3,2,"La Odisea",9,"Media"
"L0102",2,2,1,"La ópera de dos centavos",9,"Media"
"L0104",2,2,3,"La vida simplemente",9,"Media"
"L0105",3,6,3,"Los jefes",9,"Media"
"L0106",3,7,3,"Los Miserables",9,"Media"
"L0108",2,2,2,"Más allá del horizonte",9,"Media"
"L0109",1,9,1,"Odio al árbol",9,"Media"
"L0110",2,2,1,"Ópera de los dos centavos",9,"Media"
"L0111",3,7,3,"Orgullo y Prejuicio",9,"Media"
"L0112",3,6,1,"Pinocho",9,"Media"
"L0113",1,1,2,"Poemas de amor",9,"Media"
"L0115",1,1,2,"Prometeo",9,"Media"
"L0116",1,1,2,"Prometeo encadenado",9,"Media"
"L0117",2,2,2,"Prometeo liberado",9,"Media"
"L0118",2,2,3,"Rebelión de la granja",9,"Media"
"L0119",2,10,2,"Rimas y leyendas",9,"Media"
"L0120",2,3,2,"Satiricón",9,"Media"
"L0121",2,8,2,"Un cuento de navidad",9,"Media"
"L0123",1,1,1,"Abuela de arriba, abuela de abajo",2,"Basica inicial"
"L0125",1,1,1,"Camilón comilón",2,"Basica inicial"
"L0126",1,1,1,"Caperucita roja",2,"Basica inicial"
"L0127",1,1,1,"Caperucita roja tal como se la contaron a Jorge",2,"Basica inicial"
"L0130",1,1,1,"Días con Sapo y Sepo",2,"Basica inicial"
"L0132",1,1,1,"El árbol generoso",2,"Basica inicial"
"L0133",2,2,1,"El cóndor y la pastora",2,"Basica inicial"
"L0134",1,1,1,"El coyote y la tortuga (leyenda hopi)",2,"Basica inicial"
"L0137",1,1,1,"El fantasma de palacio",2,"Basica inicial"
"L0140",1,1,1,"El oso que no lo era",2,"Basica inicial"
"L0145",1,1,1,"El sastrecillo valiente",2,"Basica inicial"
"L0147",1,1,1,"Fábula de la ratoncita presumida",2,"Basica inicial"
"L0148",1,1,1,"Flon Flon y Musina",2,"Basica inicial"
"L0149",2,2,1,"Franz se mete en problemas de amor",2,"Basica inicial"
"L0150",2,2,1,"Gazapito quiere comer torta",2,"Basica inicial"
"L0155",1,1,1,"La hormiguita Cantora y el duende Melodía",2,"Basica inicial"
"L0156",1,1,1,"La liebre y el erizo",2,"Basica inicial"
"L0158",1,1,1,"La princesa y el guisante",2,"Basica inicial"
"L0159",1,1,1,"La reina de las abejas",2,"Basica inicial"
"L0160",1,1,1,"La serpiente emplumada de Asososca (leyenda nicaragüense)",2,"Basica inicial"
"L0161",1,1,1,"Las doce princesas bailarinas",2,"Basica inicial"
"L0162",1,1,1,"Las tres hilanderas",2,"Basica inicial"
"L0167",2,2,1,"Quiero ser famosa",2,"Basica inicial"
"L0168",1,1,1,"Rapunzel",2,"Basica inicial"
"L0170",1,1,1,"Rosa Caramelo",2,"Basica inicial"
"L0173",1,1,1,"Tanabata (leyenda japonesa)",2,"Basica inicial"
"L0174",1,1,1,"Tranquila Tragaleguas",2,"Basica inicial"
"L0178",2,2,1,"Vamos a buscar un tesoro. Historia de cómo el pequeño oso y el pequeño tigre fueron en busca de la felicidad.",2,"Basica inicial"
"L0181",2,2,1,"Yo sí, yo no",2,"Basica inicial"
"L0183",2,10,2,"A la felicidad de Eumelo",10,"Media"
"L0184",2,2,3,"Al sur de la Alameda",10,"Media"
"L0185",2,2,1,"Año nuevo en Gander",10,"Media"
"L0186",2,2,1,"Ayayema",10,"Media"
"L0187",2,2,3,"Bartelby, el escribiente",10,"Media"
"L0188",1,1,1,"Cinema Utoppia",10,"Media"
"L0189",1,1,1,"Comunicado",10,"Media"
"L0191",1,1,1,"Cuánta tierra necesita un hombre",10,"Media"
"L0192",3,6,3,"De qué hablo cuando hablo de correr",10,"Media"
"L0193",3,6,3,"De ratones y de hombres",10,"Media"
"L0194",2,11,2,"Don Quijote de la Mancha: segunda parte",10,"Media"
"L0195",2,8,3,"El conde de Montecristo",10,"Media"
"L0196",2,2,3,"El dador",10,"Media"
"L0197",2,2,1,"El inspector",10,"Media"
"L0198",2,8,3,"El retrato de Dorian Gray",10,"Media"
"L0199",2,8,3,"El señor de las moscas",10,"Media"
"L0200",2,8,3,"El señor de los anillos",10,"Media"
